population,controlled_requested_percent,profile,samples,proposal_odds_multiplier,targeted_event_count,importance_estimate,importance_95_low,importance_95_high,effective_sample_size,exact_probability,relative_error_vs_exact,estimate_kind
150,45,q60_44_41,20000,2.7050874403815577,4677,3.6418859889163124e-06,3.4876538796693133e-06,3.7961180981633115e-06,33.13133983355963,0.0000035662316640447378954937444304006141965492486744713814941468493037236285521757799,0.021214080294988214,modeled_importance_sampling
300,10,q25_22_17,20000,20.999999999999996,7086,3.8576102692053e-14,3.7203501779844265e-14,3.994870360426173e-14,1.2807964610216422,3.9543462390952309522879943358800082425972749620457017065882630644213432173473673E-14,-0.024463201763552322,modeled_importance_sampling
300,10,q60_44_41,20000,20.189189189189186,0,0.0,0.0,0.0,2.0375499433994464,0,,modeled_importance_sampling
300,20,q25_22_17,20000,9.333333333333332,11205,5.268360879679616e-08,5.1247272976576455e-08,5.411994461701587e-08,6.406823190150191,5.2322648681745147656898621459949262295665526225128213527138225779872794375326331E-8,0.006898735521715813,modeled_importance_sampling
300,20,q60_44_41,20000,8.972972972972972,1716,1.6231771629896824e-21,1.4672288050620329e-21,1.779125520917332e-21,2.2130034156133154,1.5583481909606284833010491803475146144985705458713679647556620789085351821826925E-21,0.04160108273946834,modeled_importance_sampling
300,25,q25_22_17,20000,6.999999999999999,11719,2.460823558880961e-06,2.3963973180359636e-06,2.525249799725959e-06,1.1720435571288095,0.0000024669837775677409034395235753576983254464124472662702227398635569971834232402020,-0.002497064935243884,modeled_importance_sampling
300,25,q60_44_41,20000,6.729729729729729,3910,5.737956700835193e-16,5.424140223966775e-16,6.051773177703612e-16,1.0415190330842592,5.5446281790757302565699878055529742746650488862952730419036544677011485713019377E-16,0.03486771619583875,modeled_importance_sampling
300,30,q25_22_17,20000,5.444444444444444,12071,4.5991970018040386e-05,4.484309224063195e-05,4.714084779544882e-05,9.027935149619118,0.000046385315921709891114571004549149999519201102000570845783130579331416877356875788,-0.00847996603781685,modeled_importance_sampling
300,30,q60_44_41,20000,5.234234234234234,5712,4.188538144338232e-12,4.010595090527527e-12,4.3664811981489375e-12,3.248564223806252,4.2882986263274210417994702007724063743409308733495454362301729322725134815837802E-12,-0.02326341765863115,modeled_importance_sampling
300,33.33,q25_22_17,20000,4.666666666666667,12258,0.00022356125707044807,0.000218123566062411,0.00022899894807848514,21.464670080132617,0.00022979864710107013880822544965910710373053797562843550030255201834837449680108390,-0.02714284922608242,modeled_importance_sampling
300,33.33,q60_44_41,20000,4.486486486486487,6690,4.69870768760616e-10,4.5197286293946785e-10,4.877686745817642e-10,2.8462926996133353,4.6360023612503303971070593067246543988832567279832811213114250711123505531513165E-10,0.01352573218683995,modeled_importance_sampling
300,35,q25_22_17,20000,4.333333333333333,12453,0.0004716933384355223,0.0004607022508031454,0.0004826844260678992,16.709237562082034,0.00046976141987204688756050880936930703396306904883906668530779703750608171995878849,0.004112552631507343,modeled_importance_sampling
300,35,q60_44_41,20000,4.166023166023166,7237,3.600594160335008e-09,3.470503463077152e-09,3.730684857592864e-09,6.045911906743441,3.6144337654471737760758533413694985768618231152961861022241397352727020692457288E-9,-0.0038289829086005,modeled_importance_sampling
300,40,q25_22_17,20000,3.499999999999999,12709,0.00305323051002164,0.002986628095327493,0.003119832924715787,48.600233159770035,0.0030256708671914046993922832953920839386120863400812967065890753415918295143215144,0.009108605674554975,modeled_importance_sampling
